発時刻,着時刻,時刻,路線名,行先,料金
14:53,4,14:57,ＪＲ京都線,新三田行,180
14:54,4,14:58,ＪＲ京都線新快速,姫路行,180
14:58,4,15:02,はるか35号,関西空港行,180
14:59,4,15:03,ＪＲ京都線,西明石行,180
15:01,4,15:05,JR京都線快速,網干行,180
15:05,4,15:09,こうのとり15号,福知山行 【始発】,180
15:08,4,15:12,ＪＲ京都線,新三田行,180
15:09,4,15:13,ＪＲ京都線新快速,姫路行,180
15:13,4,15:17,くろしお17号,新宮行 【始発】,180
15:14,4,15:18,ＪＲ京都線,西明石行,180
15:16,4,15:20,JR京都線快速,網干行,180
15:23,4,15:27,ＪＲ京都線,新三田行,180
15:24,4,15:28,ＪＲ京都線新快速,姫路行,180
15:28,4,15:32,はるか37号,関西空港行,180
15:29,4,15:33,ＪＲ京都線,西明石行,180
15:31,4,15:35,JR京都線快速,網干行,180
15:32,4,15:36,サンダーバード24号,大阪行,180
15:38,4,15:42,ＪＲ京都線,新三田行,180
15:39,4,15:43,ＪＲ京都線新快速,姫路行,180
15:44,4,15:48,ＪＲ京都線,西明石行,180
15:44,4,15:48,エキスポライナー,桜島行 【始発】,180
15:46,4,15:50,JR京都線快速,姫路行,180
15:53,4,15:57,ＪＲ京都線,新三田行,180
15:54,4,15:58,ＪＲ京都線新快速,播州赤穂行,180
15:58,4,16:02,はるか39号,関西空港行,180
15:59,4,16:03,ＪＲ京都線,西明石行,180
16:01,4,16:05,JR京都線快速,姫路行,180
16:08,4,16:12,ＪＲ京都線,新三田行,180
16:09,4,16:13,ＪＲ京都線新快速,姫路行,180
16:13,4,16:17,くろしお19号,白浜行 【始発】,180
16:14,4,16:18,ＪＲ京都線,西明石行,180
16:16,4,16:20,JR京都線快速,網干行,180
16:23,4,16:27,ＪＲ京都線,新三田行,180
16:24,4,16:28,ＪＲ京都線新快速,網干行,180
16:28,4,16:32,はるか41号,関西空港行,180
16:29,4,16:33,ＪＲ京都線,西明石行,180
16:31,4,16:35,JR京都線快速,姫路行,180
16:32,4,16:36,サンダーバード26号,大阪行,180
16:38,4,16:42,ＪＲ京都線,新三田行,180
16:39,4,16:43,ＪＲ京都線新快速,播州赤穂行,180
16:44,4,16:48,ＪＲ京都線,西明石行,180
16:44,4,16:48,エキスポライナー,桜島行 【始発】,180
16:46,4,16:50,JR京都線快速,網干行,180
16:53,4,16:57,ＪＲ京都線新快速,網干行,180
16:53,4,16:57,ＪＲ京都線,新三田行,180
16:58,4,17:02,はるか43号,関西空港行,180
16:59,4,17:03,ＪＲ京都線,西明石行,180
17:01,4,17:05,JR京都線快速,姫路行,180
17:02,4,17:06,サンダーバード28号,大阪行,180
17:05,4,17:09,こうのとり17号,豊岡行 【始発】,180
17:08,4,17:12,ＪＲ京都線,新三田行,180
17:08,4,17:12,ＪＲ京都線新快速,播州赤穂行,180
17:13,4,17:17,くろしお21号,新宮行 【始発】,180
17:14,4,17:18,ＪＲ京都線,西明石行,180
17:16,4,17:20,JR京都線快速,姫路行,180
17:23,4,17:27,ＪＲ京都線新快速,姫路行,180
17:23,4,17:27,ＪＲ京都線,新三田行,180
17:28,4,17:32,はるか45号,関西空港行,180
17:29,4,17:33,ＪＲ京都線,西明石行,180
17:31,4,17:35,JR京都線快速,網干行,180
17:32,4,17:36,サンダーバード30号,大阪行,180
17:38,4,17:42,ＪＲ京都線,新三田行,180
17:38,4,17:42,ＪＲ京都線新快速,播州赤穂行,180
17:44,4,17:48,ＪＲ京都線,西明石行,180
17:44,4,17:48,エキスポライナー,桜島行 【始発】,180
17:46,4,17:50,JR京都線快速,姫路行,180
17:53,4,17:57,ＪＲ京都線新快速,姫路行,180
17:53,4,17:57,ＪＲ京都線,新三田行,180
17:58,4,18:02,はるか47号,関西空港行,180
17:59,4,18:03,ＪＲ京都線,西明石行,180
18:01,4,18:05,JR京都線快速,姫路行,180
