発時刻,着時刻,所要時間,路線,行先,料金
15:30,15:34,4,JR京都線新快速,敦賀行,180
15:32,15:35,3,JR京都線,高槻行,180
15:32,15:36,4,はるか32号,京都行,180
15:38,15:42,4,JR京都線快速,米原行,180
15:40,15:43,3,サンダーバード31号,敦賀行 【始発】,180
15:40,15:44,4,JR京都線,京都行,180
15:45,15:49,4,JR京都線新快速,野洲行,180
15:47,15:50,3,JR京都線,高槻行,180
15:47,15:51,4,くろしお22号,新大阪行,180
15:53,15:57,4,JR京都線快速,米原行,180
15:55,15:59,4,JR京都線,京都行,180
16:00,16:04,4,JR京都線新快速,長浜行,180
16:02,16:05,3,JR京都線,高槻行,180
16:02,16:06,4,はるか34号,京都行,180
16:08,16:12,4,JR京都線快速,米原行,180
16:09,16:12,3,サンダーバード33号,敦賀行 【始発】,180
16:10,16:14,4,JR京都線,京都行,180
16:15,16:19,4,JR京都線新快速28号,野洲行,180
16:17,16:20,3,JR京都線,高槻行,180
16:23,16:27,4,JR京都線快速,米原行,180
16:24,16:28,4,こうのとり18号,新大阪行,180
16:25,16:29,4,JR京都線,京都行,180
16:28,16:32,4,エキスポライナー,新大阪行,180
16:30,16:34,4,JR京都線新快速,敦賀行,180
16:32,16:35,3,JR京都線,高槻行,180
16:32,16:36,4,はるか36号,京都行,180
16:38,16:42,4,JR京都線快速,米原行,180
16:40,16:43,3,サンダーバード35号,敦賀行 【始発】,180
16:40,16:44,4,JR京都線,京都行,180
16:45,16:49,4,JR京都線新快速,草津行,180
16:47,16:50,3,JR京都線,高槻行,180
16:47,16:51,4,くろしお24号,新大阪行,180
16:53,16:57,4,JR京都線快速,米原行,180
16:55,16:59,4,JR京都線,京都行,180
17:00,17:04,4,JR京都線新快速,長浜行,180
17:02,17:05,3,JR京都線,高槻行,180
17:02,17:06,4,はるか38号,京都行,180
17:08,17:12,4,JR京都線快速,米原行,180
17:09,17:13,4,サンダーバード37号,敦賀行 【始発】,180
17:10,17:14,4,JR京都線,京都行,180
17:15,17:19,4,JR京都線新快速30号,野洲行,180
17:17,17:20,3,JR京都線,高槻行,180
17:23,17:27,4,こうのとり20号,新大阪行,180
17:23,17:27,4,JR京都線快速,米原行,180
17:25,17:29,4,JR京都線,京都行,180
17:29,17:34,5,エキスポライナー,新大阪行,180
17:30,17:34,4,JR京都線新快速,敦賀行,180
17:32,17:35,3,JR京都線,高槻行,180
17:33,17:37,4,はるか40号,京都行,180
17:38,17:42,4,JR京都線快速,米原行,180
17:40,17:43,3,サンダーバード39号,敦賀行 【始発】,180
17:40,17:44,4,JR京都線,京都行,180
17:45,17:49,4,JR京都線新快速,草津行,180
17:47,17:50,3,JR京都線,高槻行,180
17:48,17:53,5,くろしお26号,新大阪行,180
17:53,17:57,4,JR京都線快速,米原行,180
17:55,17:59,4,JR京都線,京都行,180
18:00,18:04,4,JR京都線新快速,長浜行,180
18:02,18:05,3,JR京都線,高槻行,180
18:02,18:06,4,はるか42号,京都行,180
18:08,18:12,4,JR京都線快速,米原行,180
18:10,18:13,3,サンダーバード41号,敦賀行 【始発】,180
18:10,18:14,4,JR京都線,京都行,180
18:15,18:19,4,JR京都線新快速,草津行,180
18:17,18:20,3,JR京都線,高槻行,180
18:23,18:27,4,JR京都線快速,長浜行,180
18:24,18:28,4,こうのとり22号,新大阪行,180
18:25,18:29,4,JR京都線,京都行,180
18:29,18:34,5,エキスポライナー,新大阪行,180
18:30,18:34,4,JR京都線新快速,敦賀行,180
18:32,18:35,3,JR京都線,高槻行,180
18:33,18:37,4,はるか44号,京都行,180
18:38,18:42,4,JR京都線快速,野洲行,180
18:40,18:44,4,JR京都線,京都行,180
18:42,18:45,3,サンダーバード43号,敦賀行 【始発】,180
18:45,18:49,4,JR京都線新快速32号,草津行,180
18:47,18:50,3,JR京都線,高槻行,180
18:47,18:51,4,くろしお28号,新大阪行,180
18:53,18:57,4,JR京都線快速,米原行,180
18:55,18:59,4,JR京都線,京都行,180
19:00,19:04,4,JR京都線新快速,米原行,180
19:02,19:05,3,JR京都線,高槻行,180
19:02,19:06,4,はるか46号,京都行,180
19:08,19:12,4,JR京都線快速,野洲行,180
19:10,19:13,3,サンダーバード45号,敦賀行 【始発】,180
19:10,19:14,4,JR京都線,京都行,180
19:15,19:19,4,JR京都線新快速,野洲行,180
19:17,19:20,3,JR京都線,高槻行,180
19:18,19:22,4,くろしお30号,新大阪行,180
19:23,19:27,4,JR京都線快速,米原行,180
19:25,19:29,4,JR京都線,京都行,180
19:29,19:34,5,エキスポライナー,新大阪行,180
19:30,19:34,4,JR京都線新快速,長浜行,180
19:32,19:35,3,JR京都線,高槻行,180
19:33,19:37,4,はるか48号,京都行,180
19:36,19:41,5,スーパーはくと14号,京都行,180
19:38,19:42,4,JR京都線快速,野洲行,180
19:39,19:44,5,こうのとり24号,新大阪行,180
19:40,19:44,4,JR京都線,京都行,180
19:45,19:49,4,JR京都線新快速,野洲行,180
19:47,19:50,3,JR京都線,高槻行,180
19:47,19:51,4,くろしお32号,新大阪行,180
19:53,19:57,4,JR京都線快速,米原行,180
19:55,19:59,4,JR京都線,京都行,180
20:00,20:04,4,JR京都線新快速,長浜行,180
20:02,20:05,3,JR京都線,高槻行,180
20:02,20:06,4,はるか50号,野洲行,180
20:07,20:11,4,サンダーバード47号,敦賀行 【始発】,180
20:08,20:12,4,JR京都線快速,野洲行,180
20:10,20:14,4,JR京都線,京都行,180
20:15,20:19,4,JR京都線新快速,野洲行,180
20:17,20:20,3,JR京都線,高槻行,180
20:23,20:27,4,JR京都線快速,米原行,180
20:25,20:29,4,JR京都線,京都行,180
20:28,20:33,5,エキスポライナー,新大阪行,180
20:30,20:34,4,JR京都線新快速,長浜行,180
20:32,20:35,3,JR京都線,高槻行,180
20:32,20:36,4,はるか52号,京都行,180
20:38,20:42,4,JR京都線快速,野洲行,180
20:39,20:44,5,こうのとり26号,新大阪行,180
20:40,20:44,4,JR京都線,京都行,180
20:45,20:49,4,JR京都線新快速,野洲行,180
20:47,20:50,3,JR京都線,高槻行,180
20:47,20:51,4,くろしお34号,新大阪行,180
20:53,20:57,4,JR京都線快速,米原行,180
20:54,20:57,3,サンダーバード49号,敦賀行 【始発】,180
20:55,20:59,4,JR京都線,京都行,180
21:00,21:04,4,JR京都線新快速,米原行,180
21:02,21:05,3,JR京都線,高槻行,180
21:02,21:06,4,はるか54号,野洲行,180
21:07,21:12,5,スーパーはくと16号,京都行,180
21:10,21:14,4,JR京都線快速,野洲行,180
21:12,21:16,4,JR京都線,京都行,180
21:20,21:24,4,JR京都線新快速,野洲行,180
21:22,21:26,4,JR京都線,高槻行,180
21:28,21:33,5,エキスポライナー,新大阪行,180
21:30,21:34,4,JR京都線快速,米原行,180
21:32,21:36,4,JR京都線,京都行,180
